Creation_time_stamp,finished_game,finish_time_stamp,speed,point,validated_disk,perfect,great,ok,nb_click,missed_clicked,longest_streak,longest_grt_streak
2024-11-15 18:05:51,True,2024-11-15 18:06:27,10,1242,45,6,17,22,52,7,38,20
2024-11-15 18:06:48,True,2024-11-15 18:06:56,5,0,0,0,0,0,0,0,0,0
