Creation_time_stamp,finished_game,finish_time_stamp,speed,point,validated_disk,perfect,great,ok,nb_click,missed_clicked,longest_streak,longest_grt_streak
2024-11-15 17:33:24,True,2024-11-15 17:34:04,11,844,53,1,18,34,65,12,32,10
2024-11-15 17:34:23,True,2024-11-15 17:35:04,11,1606,54,7,26,21,81,28,29,21
