Creation_time_stamp,finished_game,finish_time_stamp,speed,point,validated_disk,perfect,great,ok,nb_click,missed_clicked,longest_streak,longest_grt_streak
2024-11-15 17:30:57,True,2024-11-15 17:31:49,16,3226,91,16,49,26,98,8,63,54
2024-11-15 17:32:01,True,2024-11-15 17:32:49,14,1918,77,4,45,28,83,7,26,13
