Creation_time_stamp,finished_game,finish_time_stamp,speed,point,validated_disk,perfect,great,ok,nb_click,missed_clicked,longest_streak,longest_grt_streak
2024-11-15 12:55:14,True,2024-11-15 12:55:28,5,80,7,0,3,4,13,6,6,3
2024-11-15 12:55:32,True,2024-11-15 12:56:11,11,650,50,2,14,34,60,10,17,4
2024-11-15 12:56:14,True,2024-11-15 12:56:57,12,990,63,3,26,34,71,8,35,14
2024-11-15 17:35:43,True,2024-11-15 17:36:25,12,1188,59,3,23,33,64,5,28,14
