Creation_time_stamp,finished_game,finish_time_stamp,speed,point,validated_disk,perfect,great,ok,nb_click,missed_clicked,longest_streak,longest_grt_streak
2024-11-15 17:54:11,True,2024-11-15 17:55:10,19,4678,116,25,68,23,124,10,61,57
2024-11-15 17:55:48,True,2024-11-15 17:56:48,20,3870,125,12,83,30,129,4,54,35
