Creation_time_stamp,finished_game,finish_time_stamp,speed,point,validated_disk,perfect,great,ok,nb_click,missed_clicked,longest_streak,longest_grt_streak
2024-11-15 17:38:44,True,2024-11-15 17:39:31,14,1216,72,4,17,51,78,6,28,13
2024-11-15 17:39:44,True,2024-11-15 17:40:37,16,1498,91,4,24,63,95,4,49,13
